,User Address,MARS Airdrop
37222,terra142axcarrsxn5c2d29rc90nex2ws7qu5fnets7u,18473222
37089,terra1s6k0hzy0lfmep0fmz8nwgm34cwuxlgxc009kvs,18473222
37224,terra12dfscj79nkq4chkru7xsp9jqa50xgla55k5a9v,18473222
37066,terra1apr4j4p7hr3gvse4hrrvxgnv63032ng77hfltu,18473222
37065,terra1432z2mfqwvkxdhn8jkhvtpeswsj79h0uav0yde,18473222
37068,terra1svfzflrfdyrjyjee6dnc735hhet8hduyt9edn9,18473222
37064,terra1w7r46pzpvw6wu7rvumjnpne3405azjrsh8rzva,18473222
37063,terra1gdrcpg2mke0vldu66ymsgf8gg086376vmcf0hv,18473222
37062,terra1cw3y2e0l8hzkl07hd0nulw4uxlhmgpd4lc0m5l,18473222
37069,terra1gggwudeejf3gpfzg7thzygsupsc0tgrhdxvcx6,18473222
37061,terra19h6vts44j53hr5c6fl2afc646umr6j8dm2wumn,18473222
37173,terra1zj4vcm5jjd35s33rf747d2nwumpd8v36a9wlk5,18473222
37060,terra1vhh7jfd8dscpl4qe7tea0f2hqcjzsfw3nxcvjt,18473222
37220,terra1ecqfe0dhh8nu6p2g4w540a7mhkfhpv0kfa42mz,18473222
37059,terra1h3zdg0lqeafz2hsw65z8duszh0s9dj46qzxjrr,18473222
37057,terra1k2kt490n6klawhy7nld69x8f5ypsx3tgaqln6y,18473222
37090,terra13e9r7pg02e7f5j5s50vsr5d2vk5cxdgpzrhszv,18473222
37055,terra1vq5hjv9rvjlr2l0uj0umd3lnn878zp8awhhgpc,18473222
37054,terra1e8rzzcn4kzp9suj7cvhwdg8t8cgdqjgxqfpfay,18473222
37053,terra1hjg2l0k8v5wmpyn9jlrxdq47967j40r8w9wrjf,18473222
37051,terra1ksjt5080rfxzuelzecsm9q4qshp7d28ly9tyn7,18473222
37223,terra1ucgzrux2hh6w3p6j3g32w8l58yycd38jy9dmlg,18473222
37056,terra1h3tcj8sq67yjwajne50drxw6rtln7j734kt7ty,18473222
37076,terra16y4j7vtqcmr6gmqek58lujdv43luqc7a5quvvy,18473222
37071,terra1sdz73u9aafkg636hy3rxqzne3un2cy95swemg3,18473222
37094,terra1f9hx20kz68urapphlwctkx7rnualjdlfluactd,18473222
37093,terra18znq74n2jwzft2fqm76le85aru4gxw9f2dlgvu,18473222
37058,terra1h3szf6s2gm95jcdgajnnu0tlrczd2whd7fw6an,18473222
37092,terra1dtg6vhw7q3jvexj29l8nqdcl2edgzj3sequ53a,18473222
37088,terra19ptswz9u6gml2d9xfz9m49pqdsjvnnqeqg98dq,18473222
37015,terra10s67q70w8qgg3q0ujhu4awjt649d3et74yvn9g,18473222
37159,terra122x76rs0y9prxlhgk984hnuwnz2xgjxuacx597,18473222
37087,terra1nk67832xtd7d33eq4vrls6pmwcheze8dnn23h2,18473222
37084,terra1xfuxr6lvyw2y07nj8tse6yedm68mrc3h6lsrpr,18473222
37070,terra16kr9g05kpk5y8pnr0ehgz2snssx3rhas5f8u4g,18473222
37083,terra1cs50fy56s3ypcxq7xzfv9w2qhgzl3qa0gfzmuy,18473222
37081,terra1hjdrzs6g4u8c23sz8rsxsshkuncpr28sy5g6rw,18473222
37080,terra17xaqwxnrkeujqth372lpk8kfy2hczhkcsqzsdq,18473222
37079,terra10kawrze9eqmmxhvkhc32gckgtlc4sgs5h0upa7,18473222
37078,terra16pnnc8cezntg0ld0tdh0l9puxsf24ka02xyy6p,18473222
37077,terra1ecadyk5nky2nzp76fj7q4rjwryvextrjuvwn6r,18473222
37075,terra1g5jc663ysne4q89093xtv3equ22uyjhn28qmpp,18473222
37221,terra1mwgcnykevhkqglcs3t28ard2rdn0ammrtcpgnv,18473222
37014,terra1455wt4exrc6k6896203cerzhn977xvpce5tzcn,18473222
37074,terra1k2f3d04ed8p8ujkvcelad3my509kdvxdfccxt5,18473222
37072,terra1vzqmtzcer7e7qz8daz3lpzh2du4raykw5zvawp,18473222
37082,terra1slzuscpfk3cnq7xvyz9m7xr6xs7krkcmy4fr9z,18473222
37050,terra1yl0e4p9zhftv6tqfjt5ytwetscdpu2hjxy6xdj,18473222
37042,terra16fpflgwyrvzt3yzd4uvyx3reavcnda65r3gmhp,18473222
37047,terra1h0qn305g087yv45pza3swdpl6spgrnu5hr5fzk,18473222
37022,terra1d4sw8wmquzc9xxdqy5gccsuke3z9xetxa8vtrv,18473222
37020,terra13t36g982hp0hlx3xdtjk059300c0xzs5k8sp4c,18473222
37019,terra1mv49mrcmxeyye98fwnvpvnfj5ayupjf4jt6lvs,18473222
37018,terra104pap3zzf74v5ek67sx3xtx47jsvmff442gj2s,18473222
37017,terra1x80f4z2hkx9nrffcyavfpfhs4rhnvs7rhpspt3,18473222
37227,terra1fyw729ue0qkypkhs99ye79rq2chwnkds9yweyg,18473222
37016,terra18g87ty38zd2h60zrpxljh56duv6htdtqgyhfsz,18473222
37073,terra1mnhkt7yrxsttkqh3sxeysl5379g7perkknc2sv,18473222
